item_id,question,search_plan,correct_answer,reference_passages
item_001,"What was the form of the language that the last name Sylvester comes from, used in the era of the king who united the 9th century tribes, later known as?",1. Determine the origin of the surname 'Sylvester' and the language form it comes from | 2. Identify the era of the king who united the 9th century tribes and the name used for that era | 3. Match the language form of 'Sylvester' to the era's name to determine the form of the language used in that era of the king who united the 9th century tribes later known as the Carolingian era or the Carolingian Renaissance,Medieval Latin,"[Sylvester] Sylvester is a name derived from the Latin adjective silvestris meaning ``wooded ''or`` wild'', which derives from the noun silva meaning ``woodland ''. Classical Latin spells this with i. | [Germans] Linguists distinguish low Saxon, Franconian, Bavarian, Thuringian and Alemannic varieties in modern German. By the 9th century, the large tribes which lived on the territory of modern Germany had been united under the rule of the Frankish king Charlemagne, known in German as Karl der Große. Much of what is now Eastern Germany became Slavonic-speaking (Sorbs and Veleti), after these areas were vacated by Germanic tribes (Vandals, Lombards, Burgundians and Suebi amongst others) which had migrated into the former areas of the Roman Empire. | [Middle Ages] Grammarians of the period modified the Latin language, changing it from the Classical Latin of the Roman Empire into a more flexible form to fit the needs of the church and government. By the reign of Charlemagne, the language had so diverged from the classical that it was later called Medieval Latin."
item_002,"""What Latin expression means """"Seize the Day""""?""","1. Determine the Latin expression that means ""Seize the Day""","Carpe diem quam minimum credula postero, Catch the day, CARPE DIEM, Carpe Diem, Seize the moment, Sieze the moment, Carpe diem",
item_003,who does cristiano ronaldo play for world cup,1. Determine which national team Cristiano Ronaldo plays for in the World Cup,Portugal,"[Cristiano Ronaldo] Ronaldo featured in the final of the three matches in which he made his 150th international appearance . On 15 June 2018 , Ronaldo became the oldest player ever to score a hat - trick in a World Cup match , helping Portugal secure a 3 -- 3 draw against Spain in their opening match at the World Cup . In doing so , he also became the first Portuguese player to score a goal in four World Cups and one of four players to do so in total ."
item_004,What is the name of the German magazine which claimed in 1983 to have found Hitler's diaries?,1. Identify the name of the German magazine that claimed in 1983 to have found Hitler's diaries.,"Fashion timber, Parabolic stern, Retroussé stern, Elliptical stern, Retrousse stern, Cutaway stern, Canoe stern, Torpedo stern, Torpedoboat stern, Stern frame, Fashion piece, Square stern, Double ended stern, Constanzi stern, Wing transom, Pink stern, Stern (boat), Cruiser stern, Counter stern, Transom stern, Pinky stern, Transom board, Torpedo boat stern, Round stern, Ship's stern, Circular stern, Stern timber, Stern (ship), Stern",
item_005,why did professor x not have his powers,1. Determine the reason Professor X lost his powers,being de-powered by the Scarlet Witch,"[Professor X] Uncanny X-Men writer Ed Brubaker has claimed that , after being de-powered by the Scarlet Witch , and then re-powered by the M'Kraan Crystal , Charles ' telepathy is more powerful than was previously known . However , the extent of this enhancement is unknown ."
item_006,What is the meaning of the name of the city where the Yongle emperor greeted the person to whom the edict was addressed?,1. Identify the city where the Yongle Emperor greeted the person to whom the edict was addressed | 2. Find the meaning of that city's name in Chinese (its Chinese name and its meaning),"""Southern Capital""","[Sino-Tibetan relations during the Ming dynasty] The Information Office of the State Council of the PRC preserves an edict of the Zhengtong Emperor (r. 1435–1449) addressed to the Karmapa in 1445, written after the latter's agent had brought holy relics to the Ming court. Zhengtong had the following message delivered to the Great Treasure Prince of Dharma, the Karmapa: | [Sino-Tibetan relations during the Ming dynasty] During his travels beginning in 1403, Deshin Shekpa was induced by further exhortations by the Ming court to visit Nanjing by April 10, 1407. Norbu writes that the Yongle Emperor, following the tradition of Mongol emperors and their reverence for the Sakya lamas, showed an enormous amount of deference towards Deshin Shekpa. | [Nanjing] Nanjing ( listen; Chinese: 南京, ""Southern Capital"") is the city situated in the heartland of lower Yangtze River region in China, which has long been a major centre of culture, education, research, politics, economy, transport networks and tourism. It is the capital city of Jiangsu province of People's Republic of China and the second largest city in East China, with a total population of 8,216,100, and legally the capital of Republic of China which lost the mainland during the civil war."
item_007,The Reign Of Terror was a period in the revolution of which country?,1. Determine which country's revolution included the Reign of Terror period,"La Republique francaise, Franciaország, La Republique française, Belle France, FRANCE, Republique française, France, Ranska, Franciaorszag, French Republic, République francaise, République française, ISO 3166-1:FR, Frankreich, France (country), Etymology of France, FrancE, La République française, People of France, Republic of France, Fracne, Le France, The French Republic, Republique francaise, The Republic of France, La République francaise, La France, Rain in France, Republic of france, FRance, Frakkland, Climate of France, Franse",
item_008,"Which film whose director was born first, El Lazarillo De Tormes or Balyasakhi?",1. Find the birth dates of the directors of the films 'El Lazarillo de Tormes' and 'Balyasakhi' | 2. Compare the two birth dates to determine which director was born first and thus which film's director was born first,Balyasakhi,
item_009,"Which film has the director who is older, The Return Of Boston Blackie or Dayavan?",1. Find the director of the film 'The Return of Boston Blackie' | 2. Find the director of the film 'Dayavan' | 3. Compare the birth dates of the two directors to determine who is older | 4. Identify which film corresponds to the older director's name and birth date to determine which film has the older director,"The Return of Boston Blackie, The Return Of Boston Blackie, Return of Boston Blackie",
item_010,"Who is Edward Wingfield, 2Nd Viscount Powerscourt's paternal grandmother?","1. Find Edward Wingfield, 2nd Viscount Powerscourt’s family tree to identify his paternal grandmother | 2. Retrieve the full name of Edward Wingfield, 2nd Viscount Powerscourt’s paternal grandmother from a reliable biographical source or family tree diagram | 3. Identify the country of origin of that grandmother from a biographical source or family history record (e.g., birthplace or nationality)",Eleanor Gore,
item_011,When was the region immediately north of the region where the country that secured southern Lebanon is located and the Persian Gulf created?,"1. Identify the country that secured southern Lebanon | 2. Determine the region immediately north of that country and the Persian Gulf | 3. Find the date when that northern region was created or established as a country or entity (e.g., Iraq)",1930,"[Israel] On 11 March 1978, a PLO guerilla raid from Lebanon led to the Coastal Road Massacre. Israel responded by launching an invasion of southern Lebanon to destroy the PLO bases south of the Litani River. Most PLO fighters withdrew, but Israel was able to secure southern Lebanon until a UN force and the Lebanese army could take over. | [Israel] Israel (/ˈɪzreɪəl/ or /ˈɪzriːəl/; Hebrew: יִשְׂרָאֵל‎ Yisrā'el; Arabic: إِسْرَائِيل‎ Isrāʼīl), officially the State of Israel (Hebrew: מְדִינַת יִשְׂרָאֵל‎ Medīnat Yisrā'el [mediˈnat jisʁaˈʔel] ( listen); Arabic: دولة إِسْرَائِيل‎ Dawlat Isrāʼīl [dawlat ʔisraːˈʔiːl]), is a sovereign state in Western Asia. The country is situated in the Middle East at the southeastern shore of the Mediterranean Sea and the northern shore of the Gulf of Aqaba in the Red Sea. It shares land borders with Lebanon to the north, Syria in the northeast, Jordan on the east, the Palestinian territories (which are claimed by the State of Palestine and are partially controlled by Israel) comprising the West Bank and Gaza Strip to the east and west, respectively, and Egypt to the southwest. | [Geography of Saudi Arabia] The Kingdom of Saudi Arabia is a country situated in Southwest Asia, the largest country of Arabia, bordering the Persian Gulf and the Red Sea, north of Yemen. Its extensive coastlines on the Persian Gulf and Red Sea provide great leverage on shipping (especially crude oil) through the Persian Gulf and Suez Canal. | [History of Saudi Arabia] Over the following 150 years, the extent of the Al Saud territory fluctuated. However, between 1902 and 1927, the Al Saud leader, Abdulaziz, carried out a series of wars of conquest which resulted in his establishing the Kingdom of Saudi Arabia in 1930."
item_012,what is the term for a female reproductive cell apex,1. Determine the term for a female reproductive cell apex,the ovule,"[Ovule] In seed plants , the ovule is the structure that gives rise to and contains the female reproductive cells . It consists of three parts : The integument ( s ) , forming its outer layer ( s ) , the nucellus ( or remnant of the megasporangium ) , and the female gametophyte ( formed from a haploid megaspore ) in its center ."
item_013,"Which mountain borders more countries, Yukshin Gardan Sar or Nangpai Gosum?",1. Find the countries that Yukshin Gardan Sar borders | 2. Find the countries that Nangpai Gosum borders | 3. Compare the number of countries each mountain borders to determine which one borders more countries,Nangpai Gosum,"[Yukshin Gardan Sar] Yukshin Gardan Sar (Urdu: ‎ ) is a high peak of the Hispar Muztagh, a subrange of the Karakoram range in Pakistan.  Its height is also often given as 7,469 m (24,505 ft) or 7,641 m (25,069 ft). | [Nangpai Gosum] Nangpai Gosum is a mountain in the Himalayas.  It lies on the border between Nepal and China.  The first ascent to the summit was a Japanese expedition on October 12, 1986."
item_014,What is the religion of L. Ron Hubbard?,1. Determine the religion of L. Ron Hubbard,Scientology,
item_015,who sings thank god i'm a country boy,"1. Find the artist who sings ""Thank God I'm a Country Boy""",John Martin Sommers,"[Thank God I'm a Country Boy] `` Thank God I 'm a Country Boy '' , also known as `` Country Boy '' , is a song written by John Martin Sommers and recorded by American singer / songwriter John Denver ."
item_016,"Which film has the director who died later, The Rainbow Jacket or Mahallada Duv-Duv Gap?",1. Identify the directors of the films 'The Rainbow Jacket' and 'Mahallada Duv-Duv Gap' | 2. Determine which of those directors died later in life | 3. Find the film associated with the director who died later to answer the question of which film has the director who died later (The Rainbow Jacket or Mahallada Duv-Duv Gap),"Ob etom govorit vsya makhallya, Mahallada Duv-Duv Gap, Mahallada duv-duv gap",
